asset_type_id,budget_ratio,description
3,0.15,برند — سرمایه‌گذاری بازاریابی
4,0.2,قرارداد — هزینه مذاکره و حقوقی
5,0.25,مدل کسب‌وکار — مشاوره و طراحی
6,0.5,فرمول/الگوریتم — R&D سنگین
7,0.18,پورتفولیوی مشتریان — CRM
8,0.22,شبکه شراکت — توسعه روابط
11,0.2,پروتکل دولت/دانشگاه — انطباق
14,0.4,پتنت — ثبت و پیگیری حقوقی
15,0.6,نرم‌افزار اختصاصی — توسعه سنگین
18,0.35,دانش فنی — مستندسازی
19,0.45,پایگاه داده — زیرساخت
32,0.25,SOP — آموزش و استقرار
35,0.2,قرارداد زنجیره تأمین — مذاکره
39,0.2,قرارداد بین‌شرکتی — مذاکره
66,0.3,CRM — پیاده‌سازی
70,0.15,لایسنس — خرید و تمدید
85,0.3,فرهنگ — آموزش و فرهنگ‌سازی
96,0.2,سفیران برند — کمپین
98,0.1,Goodwill — حفظ
100,0.3,دانش کارشناسان — انتقال دانش
