metric_id,asset_type_id,output_type,metric_name,metric_description,unit,target_default,period,formula
1,3,BRAND,brand_equity_growth,رشد ارزش برند,percent,20,annual,(final_value - initial_value) / initial_value * 100
2,3,BRAND,brand_awareness,آگاهی از برند,percent,70,quarterly,survey_score
3,3,BRAND,market_share,سهم بازار,percent,15,quarterly,company_sales / total_market * 100
4,3,BRAND,premium_pricing,قیمت پرمیوم,percent,10,annual,(premium_price - market_price) / market_price * 100
5,4,CONTRACT,contract_renewal_rate,نرخ تمدید قرارداد,percent,85,annual,renewed_contracts / total_contracts * 100
6,4,CONTRACT,npv_growth,رشد NPV,percent,15,annual,(npv_new - npv_old) / npv_old * 100
7,4,CONTRACT,exclusivity_value,ارزش انحصار,IRR,1000000000,one_time,sum(exclusive_revenue)
8,4,CONTRACT,contract_duration_extension,افزایش مدت قرارداد,months,12,annual,new_duration - old_duration
9,5,BMC,revenue_diversification,تنوع درآمد,count,3,annual,count(revenue_streams)
10,5,BMC,mrr_growth,رشد MRR,percent,25,annual,(mrr_new - mrr_old) / mrr_old * 100
11,5,BMC,ltv_cac_ratio,نسبت LTV به CAC,ratio,3,quarterly,ltv / cac
12,6,FORMULA,gross_margin_improvement,بهبود حاشیه سود,percent,12,annual,margin_new - margin_old
13,6,FORMULA,algorithm_accuracy,دقت الگوریتم,percent,95,quarterly,correct_predictions / total * 100
14,6,FORMULA,processing_speed,سرعت پردازش,seconds,-1,quarterly,avg_processing_time
15,98,GOODWILL,pb_ratio,نسبت P/B,ratio,2.5,annual,market_cap / book_value
16,98,GOODWILL,credit_rating,رتبه اعتباری,rating,AA,annual,rating_agency_score
17,98,GOODWILL,brand_valuation,ارزش‌گذاری برند,IRR,50000000000,annual,brand_valuation_report
18,7,CUSTOMER,churn_rate,نرخ ریزش مشتری,percent,5,quarterly,lost_customers / total_customers * 100
19,7,CUSTOMER,retention_rate,نرخ حفظ مشتری,percent,90,quarterly,retained_customers / total_customers * 100
20,7,CUSTOMER,customer_lifetime_value,ارزش عمر مشتری,IRR,1000000000,annual,avg_purchase * frequency * lifespan
21,8,PARTNERSHIP,jv_revenue,درآمد JV,IRR,5000000000,annual,sum(jv_revenue)
22,8,PARTNERSHIP,partner_satisfaction,رضایت شرکا,percent,85,annual,survey_score
23,8,PARTNERSHIP,active_partnerships,تعداد شراکت فعال,count,5,annual,count(active_mous)
24,11,PROTOCOL,ip_shared_value,ارزش IP مشترک,IRR,2000000000,one_time,shared_ip_value
25,11,PROTOCOL,joint_products,محصولات مشترک,count,3,annual,count(joint_products)
26,11,PROTOCOL,protocol_compliance,انطباق پروتکل,percent,95,annual,compliant_activities / total_activities * 100
27,14,PATENT,patent_grant_rate,نرخ اعطای پتنت,percent,80,annual,granted_patents / filed_patents * 100
28,14,PATENT,royalty_income,درآمد رویالتی,IRR,2000000000,annual,sum(royalty_income)
29,14,PATENT,freedom_to_operate,آزادی عمل,boolean,true,annual,freedom_to_operate_check
30,18,TRADE_SECRET,confidentiality_index,شاخص محرمانگی,percent,95,quarterly,confidentiality_score
31,18,TRADE_SECRET,breach_incidents,رخداد نقض,count,0,annual,count(breach_incidents)
32,18,TRADE_SECRET,documentation_completeness,کامل بودن مستندسازی,percent,90,annual,documented_processes / total_processes * 100
33,19,DATABASE,data_quality_score,کیفیت داده,percent,95,quarterly,data_quality_score
34,19,DATABASE,prediction_accuracy,دقت پیش‌بینی,percent,85,quarterly,accurate_predictions / total_predictions * 100
35,19,DATABASE,query_performance,کارایی کوئری,ms,100,monthly,avg_query_time
36,32,SOP,process_cycle_time,زمان چرخه فرآیند,days,5,quarterly,avg_process_cycle_time
37,32,SOP,error_rate,نرخ خطا,percent,2,quarterly,errors / total_operations * 100
38,32,SOP,iso_certification,گواهی ISO,boolean,true,annual,has_iso_certification
39,15,SOFTWARE,code_coverage,پوشش کد,percent,80,quarterly,covered_lines / total_lines * 100
40,15,SOFTWARE,uptime,زمان فعالیت,percent,99.5,monthly,uptime_percentage
41,15,SOFTWARE,security_vulnerabilities,آسیب‌پذیری امنیتی,count,0,monthly,count(open_vulnerabilities)
42,70,LICENSE,license_validity,اعتبار لایسنس,percent,100,annual,valid_licenses / total_licenses * 100
